ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;01;11763;"MACA PEITO EMB KG";54232.22;0;0;39459.71;39459.71
2022;01;2278;"AMAC CNE MAGGI 120G";1309.75;334.96;0;581.68;581.68
2022;01;24447;"MAC INST RENATA LAMEN 85G CNE";3997.89;0;0;3598.42;3598.42
2022;01;6085;"REFRIG COCA COLA 1.5L";18043.4;0;0;14785.68;14786.63
2022;01;9920;"PRESUNTO COZIDO SEARA KG";7362.03;680.99;0;3985.9;4400.4
2022;01;10347;"MORANGA JAPONESA KG";46578.24;0;0;18542.1;18542.19
2022;01;11427;"TOMATE KG";207964.3;0;0;114787.72;115097.38
2022;01;6352;"LEITE COND SEMID PIRACANJUBA 395G TP";98638.28;9124.04;0;77237.84;84634.52
2022;01;16527;"FEIJAO CARIOCA BARBALHO 1KG";58455.53;0;0;42818.32;42818.32
2022;01;1682;"BARALHO COPAG UNO 114 CARTAS";396;101.25;0;178.26;181.1
2022;01;1244;"ROLETE BIG FGO KG";2893.82;488.33;0;1233.97;1262.61
2022;01;8988;"ARROZ REI ARTHUR 5KG";174945.38;12266.3;0;148931.96;149367.76
2022;01;5826;"REFRESCO TANG 25 MARAC";2332.15;596.2;0;1491.29;1607.61
2022;01;15159;"CR D COLGATE TR ACAO 180G PROMO ORIG";20506.12;0;0;15562.89;15562.89
2022;01;9825;"ALFACE UN";50971.26;0;0;20885.44;20885.11
2022;01;7814;"HIDRAT PAIXAO 200ML INSPIRADORA";182.5;0;0;125.64;125.64
2022;01;10855;"IOG Z LAC ITAMBE NOLAC 170G COCO";1442.54;0;0;951.35;951.35
2022;01;10630;"SALSICHA HOT DOG PIF PAF KG";46872.12;4335.67;0;31412.38;34490.84
2022;01;15233;"FARINHA TRIGO ROSA BCA 1KG TRAD";21995.86;1530.81;0;17696.59;17745.02
2022;01;1286;"ESCOVA D SORRISO ORIG DURA 1UN";1066.01;0;0;595.01;597.42
2022;01;4971;"DET YPE 500ML LIMAO";2895.85;267.87;0;2000.34;2174.25
2022;01;11806;"MANDIOCA DO VALE S CASCA 1KG";27753.51;0;0;13875.65;13875.65
2022;01;9902;"FUBA ANCHIETA 1KG";10450.46;734.24;0;6469.25;6646.19
2022;01;11601;"TAIOBA UN";9016.55;0;0;4527.66;4527.66
2022;01;11167;"COSTELINHA SUINA KG";87248.83;0;0;51848.61;51777.17
2022;01;21890;"MAC OVOS RENATA 500G PARAFUSO";7412.81;0;0;6425.01;6425.02
