ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;12;11371;"STEAK FGO SEARA 100G";10919.37;1010.04;0;7298.97;7299.02
2022;12;10878;"CENOURA KG";53215.4;0;0;26663.57;26674.64
2022;12;9546;"ABACAXI UN";103417.82;0;0;75611.6;75611.82
2022;12;5201;"PAPEL HIG PERSONAL VIP 30M 4UN FD ";8450.01;0;0;6233.39;6233.39
2022;12;9856;"MANTEIGA C SAL P ALEGRE 200G PT";7160.61;0;0;4870.18;4870.18
2022;12;25261;"FRALDA T MONICA JUMBO P30";1869.15;172.9;2.83;1349.03;1465.82
2022;12;10829;"LEITE LV Z LAC SEMID PIRACANJUBA 1L";6024.93;0;0;4695.03;4695.09
2022;12;596;"BOLO BIG CHOCO 450G";11602.38;1962.11;0;5470.63;5470.68
2022;12;4443;"CERV BRA HEINEKEN 600ML";180245.3;0;2519.85;157934.59;168502.01
2022;12;1228;"LIMP M USO VEJA 500ML 10DESC ALCOOL";2316.01;214.23;0;1503.93;1615.12
2022;12;782;"TORRADA BIG TEMP KG";3389.16;571.89;0;661.87;661.74
2022;12;11211;"POLPA FRUTA BRASFRUT 100G ACEROLA";13680.19;0;0;8372.95;8372.72
2022;12;18465;"ALCOOL 70G SAFRA 1L";36765.23;9411.26;0;14232.92;14233.1
2022;12;30465;"IOG LIQ VIGOR MIX 140G MGO BALL";916.47;0;0;551.57;556.37
2022;12;8501;"ROSQUINHA VITORIA 120G NEVE";2374.06;219.6;0;1388.19;1388.19
2022;12;5567;"SH SEDA 325ML PTO LUMINOSO";1866.6;0;0;1325.49;1329.33
2022;12;18405;"CERV BRA BRAHMA 350ML LT D MALTE";11771.77;0;0;9514.44;9514.43
2022;12;5210;"PAPEL HIG PERSONAL VIP 30M L12P11 FD";35689.5;0;164;26914.52;27076.52
2022;12;10097;"BANANA CATURRA KG";131118.6;0;0;77273.97;77274
2022;12;5519;"ELIMIN ODORES PET PROCAO 2L FLORAL";523.9;133.98;0;198.23;198.09
2022;12;845;"ACUCAR DELTA 5KG";143708.1;0;0;114107.12;114106.77
2022;12;9890;"MANTEIGA C SAL PRIMAVERA 500G PT";43942.32;0;0;31224.15;31224.16
2022;12;1466;"AGUA M S GAS CRYSTAL 1.5L";7039.94;0;0;4634.04;4634.37
2022;12;11110;"MOLHO TOM FUGINI 300G PIZZA";230.34;21.31;0;130.7;130.7
2022;12;10367;"REFRIG ZR COCA COLA 600ML";8935.16;0;0;6195.66;6195.66
2022;12;19299;"VELA ANIV PAV MAGICO REGINA BCA N 02";454.86;116.56;0;158.89;158.89
2022;12;635;"EMPADA BIG FGO ASSADA KG";3725.22;628.62;0;1034.54;1035.67
2022;12;4729;"PASTEL FEIRA BIG CNE 80G";2324.6;392.9;0;1066.21;1066.22
2022;12;27913;"SUPLEM LIQ REIGN 473ML LT MANG O MATIC";646.38;59.79;0;381.45;381.48
2022;12;11505;"PEPINO KG";8060.2;0;0;3162.18;3162.19
2022;12;10074;"PALETA CIA CARNE DEF KG";4088.38;0;0;2405.92;2405.92
2022;12;9892;"ALHO ROXAO 500G";9437.1;0;0;5400.75;5400.75
2022;12;5061;"DESINF MAYOR 2L LAV";950.69;243.43;0;452.86;452.87
2022;12;10869;"REPOLHO ROXO KG";6088.38;0;0;3355.28;3355.27
2022;12;11746;"MACA FUJI KG";124818.58;0;0;74477.17;74476.77
2022;12;17739;"QUEIJO PRATO ITAMBE FAT 150G";6335.45;0;0;4844.3;4844.3
2022;12;646;"ANTEPASTO BIG BERINJELA KG";8349.8;2136.24;0;4881.39;4884.59
2022;12;9825;"ALFACE UN";64708.12;0;0;25310.14;25310.14
2022;12;21588;"PRESERV PRUDENCE ORIG L8P6";742.6;68.69;0;398.34;398.4
2022;12;10017;"MARG C SAL DELICIA 500G";4289.66;0;0;3133.52;3133.52
2022;12;11516;"PERA ARGENTINA KG";64500.72;0;0;36607.58;36607.6
2022;12;14180;"CHOC B ARCOR 80G MEIO AMARG";3582.75;331.4;0;2146.25;2479.51
2022;12;18344;"SALG BIG 200G CAMARAO";1651.1;152.73;0;786.88;786.6
2022;12;28292;"MOLHO TOM HEINZ 300G TRAD";48591.77;4494.74;282.81;34944.37;35276.69
2022;12;827;"BISC BIG DOCE FRITO KG";2707.31;457.12;0;1024.76;1024.77
2022;12;19238;"FILEZINHO FGO SADIA BIO IQF 1KG";15600.77;0;0;13953.65;14258.15
2022;12;1005;"PAO BIG FORMA TRAD 400G";28403.06;4411.25;0;11390.47;11392.34
2022;12;15737;"LEITE LV DESN P ALEGRE 1L";12089.11;0;0;10733.71;10733.73
2022;12;11307;"PAO BISNAG SANNY 250G";15767.16;1458.46;0;9898.78;9898.78
2022;12;6360;"CAFE RIO PTO 500G";110649.87;7751.35;0;77205.78;78574.65
2022;12;4905;"DET LIMPOL 500ML CRISTAL";14290.78;1321.9;198.2;9554.35;9752.55
2022;12;9809;"ALFACE AMER UN";14694.27;0;0;5651.29;5654.3
2022;12;18016;"RACAO CAO BAWWAW 1KG CAO ADULTO RPQ CNE";2010.1;185.93;0;1241.1;1241.1
2022;12;645;"COXINHA FGO BIG CATUPIRY FRITA KG";35769.14;6035.01;0;14479.38;14481.28
2022;12;21878;"BISC LTE RENATA 360G";20832.91;1927.04;0;15281.4;15567.52
